bin,fhit,ebin,cut,mc,rd,,,,,,,,mcmc500,mcrd500,mcrdthres500,mcmc1200,mcrd1200,mcrdthres1200,mcrd1000,mcrdthres1000,rdmc1000,rdmcthres1000
76,0.485,3.5,22.24,22.45,21.6,,,,,,,,22.36 ,22.18 ,22.18 ,22.44,22.48,22.45,22.39,22.45,19.4,19.4
77,0.485,3.75,37.34,38.86,36.62,,,,,,,,24.92 ,32.43 ,32.43 ,37.62,39.35,39.52,39.23,38.94,24.02,0
78,0.485,4,23.51,22.36,23.23,,,,,,,,19.60 ,24.74 ,24.74 ,19.52,24.41,24.37,24.64,23.75,19.95,19.95
79,0.485,4.25,7.89,7.51,5.77,,,,,,,,7.92 ,8.71 ,8.71 ,8.25,8.32,8.33,7.37,9.38,8.31,8.31
80,0.485,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
81,0.485,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
82,0.485,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
83,0.485,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
84,0.618,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
85,0.618,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
86,0.618,3,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
87,0.618,3.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
88,0.618,3.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
89,0.618,3.75,20.86,20.06,20.94,,,,,,,,16.75 ,16.50 ,16.50 ,20.73,16.89,16.77,16.88,21.46,17.88,17.88
90,0.618,4,27,28.11,17.07,,,,,,,,20.45 ,29.75 ,29.75 ,22.3,29.12,29.24,29.38,22.7,20.55,20.55
